Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19801104,N/A,Alabama,9,0,0,"1,341,929","654,192","Reagan, Ronald  ",Challenger,"636,730","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"51,007",,"17,462",R,48.75,47.45,.00,3.80,50.68,49.32,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Alaska,3,0,0,"158,445","86,112","Reagan, Ronald  ",Challenger,"41,842","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"30,491",,"44,270",R,54.35,26.41,.00,19.24,67.30,32.70,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Arizona,6,0,0,"873,945","529,688","Reagan, Ronald  ",Challenger,"246,843","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"97,414",,"282,845",R,60.61,28.24,.00,11.15,68.21,31.79,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Arkansas,6,0,0,"837,582","403,164","Reagan, Ronald  ",Challenger,"398,041","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"36,377",,"5,123",R,48.13,47.52,.00,4.34,50.32,49.68,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,California,45,0,0,"8,587,063","4,524,858","Reagan, Ronald  ",Challenger,"3,083,661","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"978,544",,"1,441,197",R,52.69,35.91,.00,11.40,59.47,40.53,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Colorado,7,0,0,"1,184,415","652,264","Reagan, Ronald  ",Challenger,"367,973","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"164,178",,"284,291",R,55.07,31.07,.00,13.86,63.93,36.07,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Connecticut,8,0,0,"1,406,285","677,210","Reagan, Ronald  ",Challenger,"541,732","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"187,343",,"135,478",R,48.16,38.52,.00,13.32,55.56,44.44,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Delaware,3,0,0,"235,900","111,252","Reagan, Ronald  ",Challenger,"105,754","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"18,894",,"5,498",R,47.16,44.83,.00,8.01,51.27,48.73,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,District of Columbia,0,3,0,"175,237","23,545","Reagan, Ronald  ",Challenger,"131,113","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"20,579",,"107,568",D,13.44,74.82,.00,11.74,15.22,84.78,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Florida,17,0,0,"3,686,930","2,046,951","Reagan, Ronald  ",Challenger,"1,419,475","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"220,504",,"627,476",R,55.52,38.50,.00,5.98,59.05,40.95,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Georgia,0,12,0,"1,596,695","654,168","Reagan, Ronald  ",Challenger,"890,733","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"51,794",,"236,565",D,40.97,55.79,.00,3.24,42.34,57.66,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Hawaii,0,4,0,"303,287","130,112","Reagan, Ronald  ",Challenger,"135,879","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"37,296",,"5,767",D,42.90,44.80,.00,12.30,48.92,51.08,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19801104,N/A,Idaho,4,0,0,"437,431","290,699","Reagan, Ronald  ",Challenger,"110,192","Carter, Jimmy  ",Incumbent,N/A,N/A,N/A,N/A,"36,540",,"180,507",R,66.46,25.19,.00,8.35,72.51,27.49,,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
