Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19961105,N/A,Alabama,9,0,0,"1,534,349","769,044","Dole, Robert  ",Challenger,"662,165","Clinton, Bill ",Incumbent,Reform,"92,149","Perot, Ross  ",Challenger,"10,991",,"106,879",R,50.12,43.16,6.01,.72,53.73,46.27,,,
President,19961105,N/A,Alaska,3,0,0,"241,620","122,746","Dole, Robert  ",Challenger,"80,380","Clinton, Bill ",Incumbent,Reform,"26,333","Perot, Ross  ",Challenger,"12,161",,"42,366",R,50.80,33.27,10.90,5.03,60.43,39.57,,,
President,19961105,N/A,Arizona,0,8,0,"1,404,405","622,073","Dole, Robert  ",Challenger,"653,288","Clinton, Bill ",Incumbent,Reform,"112,072","Perot, Ross  ",Challenger,"16,972",,"31,215",D,44.29,46.52,7.98,1.21,48.78,51.22,,,
President,19961105,N/A,Arkansas,0,6,0,"884,262","325,416","Dole, Robert  ",Challenger,"475,171","Clinton, Bill ",Incumbent,Reform,"69,884","Perot, Ross  ",Challenger,"13,791",,"149,755",D,36.80,53.74,7.90,1.56,40.65,59.35,,,
President,19961105,N/A,California,0,54,0,"10,019,484","3,828,380","Dole, Robert  ",Challenger,"5,119,835","Clinton, Bill ",Incumbent,Reform,"697,847","Perot, Ross  ",Challenger,"373,422",,"1,291,455",D,38.21,51.10,6.96,3.73,42.78,57.22,,,
President,19961105,N/A,Colorado,8,0,0,"1,510,704","691,848","Dole, Robert  ",Challenger,"671,152","Clinton, Bill ",Incumbent,Reform,"99,629","Perot, Ross  ",Challenger,"48,075",,"20,696",R,45.80,44.43,6.59,3.18,50.76,49.24,,,
President,19961105,N/A,Connecticut,0,8,0,"1,392,614","483,109","Dole, Robert  ",Challenger,"735,740","Clinton, Bill ",Incumbent,Reform,"139,523","Perot, Ross  ",Challenger,"34,242",,"252,631",D,34.69,52.83,10.02,2.46,39.64,60.36,,,
President,19961105,N/A,Delaware,0,3,0,"271,084","99,062","Dole, Robert  ",Challenger,"140,355","Clinton, Bill ",Incumbent,Reform,"28,719","Perot, Ross  ",Challenger,"2,948",,"41,293",D,36.54,51.78,10.59,1.09,41.38,58.62,,,
President,19961105,N/A,District of Columbia,0,3,0,"185,726","17,339","Dole, Robert  ",Challenger,"158,220","Clinton, Bill ",Incumbent,Reform,"3,611","Perot, Ross  ",Challenger,"6,556",,"140,881",D,9.34,85.19,1.94,3.53,9.88,90.12,,,
President,19961105,N/A,Florida,0,25,0,"5,303,794","2,244,536","Dole, Robert  ",Challenger,"2,546,870","Clinton, Bill ",Incumbent,Reform,"483,870","Perot, Ross  ",Challenger,"28,518",,"302,334",D,42.32,48.02,9.12,.54,46.85,53.15,,,
President,19961105,N/A,Georgia,13,0,0,"2,299,071","1,080,843","Dole, Robert  ",Challenger,"1,053,849","Clinton, Bill ",Incumbent,Reform,"146,337","Perot, Ross  ",Challenger,"18,042",,"26,994",R,47.01,45.84,6.37,.78,50.63,49.37,,,
President,19961105,N/A,Hawaii,0,4,0,"360,120","113,943","Dole, Robert  ",Challenger,"205,012","Clinton, Bill ",Incumbent,Reform,"27,358","Perot, Ross  ",Challenger,"13,807",,"91,069",D,31.64,56.93,7.60,3.83,35.72,64.28,,,
President,19961105,N/A,Idaho,4,0,0,"491,719","256,595","Dole, Robert  ",Challenger,"165,443","Clinton, Bill ",Incumbent,Reform,"62,518","Perot, Ross  ",Challenger,"7,163",,"91,152",R,52.18,33.65,12.71,1.46,60.80,39.20,,,
President,19961105,N/A,Illinois,0,22,0,"4,311,391","1,587,021","Dole, Robert  ",Challenger,"2,341,744","Clinton, Bill ",Incumbent,Reform,"346,408","Perot, Ross  ",Challenger,"36,218",,"754,723",D,36.81,54.32,8.03,.84,40.39,59.61,,,
President,19961105,N/A,Indiana,12,0,0,"2,135,842","1,006,693","Dole, Robert  ",Challenger,"887,424","Clinton, Bill ",Incumbent,Reform,"224,299","Perot, Ross  ",Challenger,"17,426",,"119,269",R,47.13,41.55,10.50,.82,53.15,46.85,,,
President,19961105,N/A,Iowa,0,7,0,"1,234,075","492,644","Dole, Robert  ",Challenger,"620,258","Clinton, Bill ",Incumbent,Reform,"105,159","Perot, Ross  ",Challenger,"16,014",,"127,614",D,39.92,50.26,8.52,1.30,44.27,55.73,,,
President,19961105,N/A,Kansas,6,0,0,"1,074,300","583,245","Dole, Robert  ",Challenger,"387,659","Clinton, Bill ",Incumbent,Reform,"92,639","Perot, Ross  ",Challenger,"10,757",,"195,586",R,54.29,36.08,8.62,1.00,60.07,39.93,,,
President,19961105,N/A,Kentucky,0,8,0,"1,388,708","623,283","Dole, Robert  ",Challenger,"636,614","Clinton, Bill ",Incumbent,Reform,"120,396","Perot, Ross  ",Challenger,"8,415",,"13,331",D,44.88,45.84,8.67,.61,49.47,50.53,,,
President,19961105,N/A,Louisiana,0,9,0,"1,783,959","712,586","Dole, Robert  ",Challenger,"927,837","Clinton, Bill ",Incumbent,Reform,"123,293","Perot, Ross  ",Challenger,"20,243",,"215,251",D,39.94,52.01,6.91,1.13,43.44,56.56,,,
President,19961105,N/A,Maine,0,4,0,"605,897","186,378","Dole, Robert  ",Challenger,"312,788","Clinton, Bill ",Incumbent,Reform,"85,970","Perot, Ross  ",Challenger,"20,761",,"126,410",D,30.76,51.62,14.19,3.43,37.34,62.66,,,
President,19961105,N/A,Maryland,0,10,0,"1,780,870","681,530","Dole, Robert  ",Challenger,"966,207","Clinton, Bill ",Incumbent,Reform,"115,812","Perot, Ross  ",Challenger,"17,321",,"284,677",D,38.27,54.25,6.50,.97,41.36,58.64,,,
President,19961105,N/A,Massachusetts,0,12,0,"2,556,785","718,107","Dole, Robert  ",Challenger,"1,571,763","Clinton, Bill ",Incumbent,Reform,"227,217","Perot, Ross  ",Challenger,"39,698",,"853,656",D,28.09,61.47,8.89,1.55,31.36,68.64,,,
President,19961105,N/A,Michigan,0,18,0,"3,848,844","1,481,212","Dole, Robert  ",Challenger,"1,989,653","Clinton, Bill ",Incumbent,Reform,"336,670","Perot, Ross  ",Challenger,"41,309",,"508,441",D,38.48,51.69,8.75,1.07,42.68,57.32,,,
President,19961105,N/A,Minnesota,0,10,0,"2,192,640","766,476","Dole, Robert  ",Challenger,"1,120,438","Clinton, Bill ",Incumbent,Reform,"257,704","Perot, Ross  ",Challenger,"48,022",,"353,962",D,34.96,51.10,11.75,2.19,40.62,59.38,,,
President,19961105,N/A,Mississippi,7,0,0,"893,857","439,838","Dole, Robert  ",Challenger,"394,022","Clinton, Bill ",Incumbent,Reform,"52,222","Perot, Ross  ",Challenger,"7,775",,"45,816",R,49.21,44.08,5.84,.87,52.75,47.25,,,
President,19961105,N/A,Missouri,0,11,0,"2,158,065","890,016","Dole, Robert  ",Challenger,"1,025,935","Clinton, Bill ",Incumbent,Reform,"217,188","Perot, Ross  ",Challenger,"24,926",,"135,919",D,41.24,47.54,10.06,1.16,46.45,53.55,,,
President,19961105,N/A,Montana,3,0,0,"407,261","179,652","Dole, Robert  ",Challenger,"167,922","Clinton, Bill ",Incumbent,Reform,"55,229","Perot, Ross  ",Challenger,"4,458",,"11,730",R,44.11,41.23,13.56,1.09,51.69,48.31,,,
President,19961105,N/A,Nebraska,5,0,0,"677,415","363,467","Dole, Robert  ",Challenger,"236,761","Clinton, Bill ",Incumbent,Reform,"71,278","Perot, Ross  ",Challenger,"5,909",,"126,706",R,53.65,34.95,10.52,.87,60.55,39.45,,,
President,19961105,N/A,Nevada,0,4,0,"464,279","199,244","Dole, Robert  ",Challenger,"203,974","Clinton, Bill ",Incumbent,Reform,"43,986","Perot, Ross  ",Challenger,"17,075",,"4,730",D,42.91,43.93,9.47,3.68,49.41,50.59,,,
President,19961105,N/A,New Hampshire,0,4,0,"499,175","196,532","Dole, Robert  ",Challenger,"246,214","Clinton, Bill ",Incumbent,Reform,"48,390","Perot, Ross  ",Challenger,"8,039",,"49,682",D,39.37,49.32,9.69,1.61,44.39,55.61,,,
President,19961105,N/A,New Jersey,0,15,0,"3,075,807","1,103,078","Dole, Robert  ",Challenger,"1,652,329","Clinton, Bill ",Incumbent,Reform,"262,134","Perot, Ross  ",Challenger,"58,266",,"549,251",D,35.86,53.72,8.52,1.89,40.03,59.97,,,
President,19961105,N/A,New Mexico,0,5,0,"556,074","232,751","Dole, Robert  ",Challenger,"273,495","Clinton, Bill ",Incumbent,Reform,"32,257","Perot, Ross  ",Challenger,"17,571",,"40,744",D,41.86,49.18,5.80,3.16,45.98,54.02,,,
President,19961105,N/A,New York,0,33,0,"6,316,129","1,933,492","Dole, Robert  ",Challenger,"3,756,177","Clinton, Bill ",Incumbent,Reform,"503,458","Perot, Ross  ",Challenger,"123,002",,"1,822,685",D,30.61,59.47,7.97,1.95,33.98,66.02,,,
President,19961105,N/A,North Carolina,14,0,0,"2,515,807","1,225,938","Dole, Robert  ",Challenger,"1,107,849","Clinton, Bill ",Incumbent,Reform,"168,059","Perot, Ross  ",Challenger,"13,961",,"118,089",R,48.73,44.04,6.68,.55,52.53,47.47,,,
President,19961105,N/A,North Dakota,3,0,0,"266,411","125,050","Dole, Robert  ",Challenger,"106,905","Clinton, Bill ",Incumbent,Reform,"32,515","Perot, Ross  ",Challenger,"1,941",,"18,145",R,46.94,40.13,12.20,.73,53.91,46.09,,,
President,19961105,N/A,Ohio,0,21,0,"4,534,434","1,859,883","Dole, Robert  ",Challenger,"2,148,222","Clinton, Bill ",Incumbent,Reform,"483,207","Perot, Ross  ",Challenger,"43,122",,"288,339",D,41.02,47.38,10.66,.95,46.40,53.60,,,
President,19961105,N/A,Oklahoma,8,0,0,"1,206,713","582,315","Dole, Robert  ",Challenger,"488,105","Clinton, Bill ",Incumbent,Reform,"130,788","Perot, Ross  ",Challenger,"5,505",,"94,210",R,48.26,40.45,10.84,.46,54.40,45.60,,,
President,19961105,N/A,Oregon,0,7,0,"1,377,760","538,152","Dole, Robert  ",Challenger,"649,641","Clinton, Bill ",Incumbent,Reform,"121,221","Perot, Ross  ",Challenger,"68,746",,"111,489",D,39.06,47.15,8.80,4.99,45.31,54.69,,,
President,19961105,N/A,Pennsylvania,0,23,0,"4,506,118","1,801,169","Dole, Robert  ",Challenger,"2,215,819","Clinton, Bill ",Incumbent,Reform,"430,984","Perot, Ross  ",Challenger,"58,146",,"414,650",D,39.97,49.17,9.56,1.29,44.84,55.16,,,
President,19961105,N/A,Rhode Island,0,4,0,"390,284","104,683","Dole, Robert  ",Challenger,"233,050","Clinton, Bill ",Incumbent,Reform,"43,723","Perot, Ross  ",Challenger,"8,828",,"128,367",D,26.82,59.71,11.20,2.26,31.00,69.00,,,
President,19961105,N/A,South Carolina,8,0,0,"1,151,689","573,458","Dole, Robert  ",Challenger,"506,283","Clinton, Bill ",Incumbent,Reform,"64,386","Perot, Ross  ",Challenger,"7,562",,"67,175",R,49.79,43.96,5.59,.66,53.11,46.89,,,
President,19961105,N/A,South Dakota,3,0,0,"323,826","150,543","Dole, Robert  ",Challenger,"139,333","Clinton, Bill ",Incumbent,Reform,"31,250","Perot, Ross  ",Challenger,"2,700",,"11,210",R,46.49,43.03,9.65,.83,51.93,48.07,,,
President,19961105,N/A,Tennessee,0,11,0,"1,894,105","863,530","Dole, Robert  ",Challenger,"909,146","Clinton, Bill ",Incumbent,Reform,"105,918","Perot, Ross  ",Challenger,"15,511",,"45,616",D,45.59,48.00,5.59,.82,48.71,51.29,,,
President,19961105,N/A,Texas,32,0,0,"5,611,644","2,736,167","Dole, Robert  ",Challenger,"2,459,683","Clinton, Bill ",Incumbent,Reform,"378,537","Perot, Ross  ",Challenger,"37,257",,"276,484",R,48.76,43.83,6.75,.66,52.66,47.34,,,
President,19961105,N/A,Utah,5,0,0,"665,629","361,911","Dole, Robert  ",Challenger,"221,633","Clinton, Bill ",Incumbent,Reform,"66,461","Perot, Ross  ",Challenger,"15,624",,"140,278",R,54.37,33.30,9.98,2.35,62.02,37.98,,,
