Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,20001107,N/A,Alabama,9,0,0,"1,666,272","941,173","Bush, George W. ",Challenger,"692,611","Gore, Albert  Jr.",Challenger,Green,"18,323","Nader, Ralph  ",Challenger,"14,165",,"248,562",R,56.48,41.57,1.10,.85,57.61,42.39,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Alaska,3,0,0,"285,560","167,398","Bush, George W. ",Challenger,"79,004","Gore, Albert  Jr.",Challenger,Green,"28,747","Nader, Ralph  ",Challenger,"10,411",,"88,394",R,58.62,27.67,10.07,3.65,67.94,32.06,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Arizona,8,0,0,"1,532,016","781,652","Bush, George W. ",Challenger,"685,341","Gore, Albert  Jr.",Challenger,Green,"45,645","Nader, Ralph  ",Challenger,"19,378",,"96,311",R,51.02,44.73,2.98,1.26,53.28,46.72,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Arkansas,6,0,0,"921,781","472,940","Bush, George W. ",Challenger,"422,768","Gore, Albert  Jr.",Challenger,Green,"13,421","Nader, Ralph  ",Challenger,"12,652",,"50,172",R,51.31,45.86,1.46,1.37,52.80,47.20,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,California,0,54,0,"10,965,856","4,567,429","Bush, George W. ",Challenger,"5,861,203","Gore, Albert  Jr.",Challenger,Green,"418,707","Nader, Ralph  ",Challenger,"118,517",,"1,293,774",D,41.65,53.45,3.82,1.08,43.80,56.20,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Colorado,8,0,0,"1,741,368","883,748","Bush, George W. ",Challenger,"738,227","Gore, Albert  Jr.",Challenger,Green,"91,434","Nader, Ralph  ",Challenger,"27,959",,"145,521",R,50.75,42.39,5.25,1.61,54.49,45.51,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Connecticut,0,8,0,"1,459,525","561,094","Bush, George W. ",Challenger,"816,015","Gore, Albert  Jr.",Challenger,Green,"64,452","Nader, Ralph  ",Challenger,"17,964",,"254,921",D,38.44,55.91,4.42,1.23,40.74,59.26,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Delaware,0,3,0,"327,622","137,288","Bush, George W. ",Challenger,"180,068","Gore, Albert  Jr.",Challenger,Green,"8,307","Nader, Ralph  ",Challenger,"1,959",,"42,780",D,41.90,54.96,2.54,.60,43.26,56.74,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,District of Columbia,0,2,1,"201,894","18,073","Bush, George W. ",Challenger,"171,923","Gore, Albert  Jr.",Challenger,Green,"10,576","Nader, Ralph  ",Challenger,"1,322",,"153,850",D,8.95,85.16,5.24,.65,9.51,90.49,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,20001107,N/A,Florida,25,0,0,"5,963,110","2,912,790","Bush, George W. ",Challenger,"2,912,253","Gore, Albert  Jr.",Challenger,Green,"97,488","Nader, Ralph  ",Challenger,"40,579",,537,R,48.85,48.84,1.63,.68,50.00,50.00,,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
