Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19841106,N/A,Alabama,9,0,0,"1,441,713","872,849","Reagan, Ronald  ",Incumbent,"551,899","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"16,965",,"320,950",R,60.54,38.28,.00,1.18,61.26,38.74,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Alaska,3,0,0,"207,605","138,377","Reagan, Ronald  ",Incumbent,"62,007","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"7,221",,"76,370",R,66.65,29.87,.00,3.48,69.06,30.94,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Arizona,7,0,0,"1,025,897","681,416","Reagan, Ronald  ",Incumbent,"333,854","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"10,627",,"347,562",R,66.42,32.54,.00,1.04,67.12,32.88,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Arkansas,6,0,0,"884,406","534,774","Reagan, Ronald  ",Incumbent,"338,646","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"10,986",,"196,128",R,60.47,38.29,.00,1.24,61.23,38.77,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,California,47,0,0,"9,505,423","5,467,009","Reagan, Ronald  ",Incumbent,"3,922,519","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"115,895",,"1,544,490",R,57.51,41.27,.00,1.22,58.22,41.78,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Colorado,8,0,0,"1,295,380","821,817","Reagan, Ronald  ",Incumbent,"454,975","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"18,588",,"366,842",R,63.44,35.12,.00,1.43,64.37,35.63,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Connecticut,8,0,0,"1,466,900","890,877","Reagan, Ronald  ",Incumbent,"569,597","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"6,426",,"321,280",R,60.73,38.83,.00,.44,61.00,39.00,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Delaware,3,0,0,"254,572","152,190","Reagan, Ronald  ",Incumbent,"101,656","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,726,,"50,534",R,59.78,39.93,.00,.29,59.95,40.05,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,District of Columbia,0,3,0,"211,288","29,009","Reagan, Ronald  ",Incumbent,"180,408","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,"1,871",,"151,399",D,13.73,85.38,.00,.89,13.85,86.15,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19841106,N/A,Florida,21,0,0,"4,180,051","2,730,350","Reagan, Ronald  ",Incumbent,"1,448,816","Mondale, Walter F. ",Challenger,N/A,N/A,N/A,N/A,885,,"1,281,534",R,65.32,34.66,.00,.02,65.33,34.67,,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
