Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19921103,N/A,Alabama,9,0,0,"1,688,060","804,283","Bush, George H. ",Incumbent,"690,080","Clinton, Bill ",Challenger,Reform,"183,109","Perot, Ross  ",Challenger,"10,588",,"114,203",R,47.65,40.88,10.85,.63,53.82,46.18,,,
President,19921103,N/A,Alaska,3,0,0,"258,506","102,000","Bush, George H. ",Incumbent,"78,294","Clinton, Bill ",Challenger,Reform,"73,481","Perot, Ross  ",Challenger,"4,731",,"23,706",R,39.46,30.29,28.43,1.83,56.57,43.43,,,
President,19921103,N/A,Arizona,8,0,0,"1,486,975","572,086","Bush, George H. ",Incumbent,"543,050","Clinton, Bill ",Challenger,Reform,"353,741","Perot, Ross  ",Challenger,"18,098",,"29,036",R,38.47,36.52,23.79,1.22,51.30,48.70,,,
President,19921103,N/A,Arkansas,0,6,0,"950,653","337,324","Bush, George H. ",Incumbent,"505,823","Clinton, Bill ",Challenger,Reform,"99,132","Perot, Ross  ",Challenger,"8,374",,"168,499",D,35.48,53.21,10.43,.88,40.01,59.99,,,
President,19921103,N/A,California,0,54,0,"11,131,721","3,630,574","Bush, George H. ",Incumbent,"5,121,325","Clinton, Bill ",Challenger,Reform,"2,296,006","Perot, Ross  ",Challenger,"83,816",,"1,490,751",D,32.61,46.01,20.63,.75,41.48,58.52,,,
President,19921103,N/A,Colorado,0,8,0,"1,569,180","562,850","Bush, George H. ",Incumbent,"629,681","Clinton, Bill ",Challenger,Reform,"366,010","Perot, Ross  ",Challenger,"10,639",,"66,831",D,35.87,40.13,23.32,.68,47.20,52.80,,,
President,19921103,N/A,Connecticut,0,8,0,"1,616,332","578,313","Bush, George H. ",Incumbent,"682,318","Clinton, Bill ",Challenger,Reform,"348,771","Perot, Ross  ",Challenger,"6,930",,"104,005",D,35.78,42.21,21.58,.43,45.87,54.13,,,
President,19921103,N/A,Delaware,0,3,0,"289,735","102,313","Bush, George H. ",Incumbent,"126,054","Clinton, Bill ",Challenger,Reform,"59,213","Perot, Ross  ",Challenger,"2,155",,"23,741",D,35.31,43.51,20.44,.74,44.80,55.20,,,
President,19921103,N/A,District of Columbia,0,3,0,"227,572","20,698","Bush, George H. ",Incumbent,"192,619","Clinton, Bill ",Challenger,Reform,"9,681","Perot, Ross  ",Challenger,"4,574",,"171,921",D,9.10,84.64,4.25,2.01,9.70,90.30,,,
President,19921103,N/A,Florida,25,0,0,"5,314,392","2,173,310","Bush, George H. ",Incumbent,"2,072,698","Clinton, Bill ",Challenger,Reform,"1,053,067","Perot, Ross  ",Challenger,"15,317",,"100,612",R,40.89,39.00,19.82,.29,51.18,48.82,,,
President,19921103,N/A,Georgia,0,13,0,"2,321,125","995,252","Bush, George H. ",Incumbent,"1,008,966","Clinton, Bill ",Challenger,Reform,"309,657","Perot, Ross  ",Challenger,"7,250",,"13,714",D,42.88,43.47,13.34,.31,49.66,50.34,,,
President,19921103,N/A,Hawaii,0,4,0,"372,842","136,822","Bush, George H. ",Incumbent,"179,310","Clinton, Bill ",Challenger,Reform,"53,003","Perot, Ross  ",Challenger,"3,707",,"42,488",D,36.70,48.09,14.22,.99,43.28,56.72,,,
President,19921103,N/A,Idaho,4,0,0,"482,142","202,645","Bush, George H. ",Incumbent,"137,013","Clinton, Bill ",Challenger,Reform,"130,395","Perot, Ross  ",Challenger,"12,089",,"65,632",R,42.03,28.42,27.04,2.51,59.66,40.34,,,
President,19921103,N/A,Illinois,0,22,0,"5,050,157","1,734,096","Bush, George H. ",Incumbent,"2,453,350","Clinton, Bill ",Challenger,Reform,"840,515","Perot, Ross  ",Challenger,"22,196",,"719,254",D,34.34,48.58,16.64,.44,41.41,58.59,,,
President,19921103,N/A,Indiana,12,0,0,"2,305,871","989,375","Bush, George H. ",Incumbent,"848,420","Clinton, Bill ",Challenger,Reform,"455,934","Perot, Ross  ",Challenger,"12,142",,"140,955",R,42.91,36.79,19.77,.53,53.83,46.17,,,
President,19921103,N/A,Iowa,0,7,0,"1,354,607","504,891","Bush, George H. ",Incumbent,"586,353","Clinton, Bill ",Challenger,Reform,"253,468","Perot, Ross  ",Challenger,"9,895",,"81,462",D,37.27,43.29,18.71,.73,46.27,53.73,,,
President,19921103,N/A,Kansas,6,0,0,"1,157,335","449,951","Bush, George H. ",Incumbent,"390,434","Clinton, Bill ",Challenger,Reform,"312,358","Perot, Ross  ",Challenger,"4,592",,"59,517",R,38.88,33.74,26.99,.40,53.54,46.46,,,
President,19921103,N/A,Kentucky,0,8,0,"1,492,900","617,178","Bush, George H. ",Incumbent,"665,104","Clinton, Bill ",Challenger,Reform,"203,944","Perot, Ross  ",Challenger,"6,674",,"47,926",D,41.34,44.55,13.66,.45,48.13,51.87,,,
President,19921103,N/A,Louisiana,0,9,0,"1,790,017","733,386","Bush, George H. ",Incumbent,"815,971","Clinton, Bill ",Challenger,Reform,"211,478","Perot, Ross  ",Challenger,"29,182",,"82,585",D,40.97,45.58,11.81,1.63,47.33,52.67,,,
President,19921103,N/A,Maine,0,4,0,"679,499","206,504","Bush, George H. ",Incumbent,"263,420","Clinton, Bill ",Challenger,Reform,"206,820","Perot, Ross  ",Challenger,"2,755",,"56,600",D,30.39,38.77,30.44,.41,43.94,56.06,,,
President,19921103,N/A,Maryland,0,10,0,"1,985,046","707,094","Bush, George H. ",Incumbent,"988,571","Clinton, Bill ",Challenger,Reform,"281,414","Perot, Ross  ",Challenger,"7,967",,"281,477",D,35.62,49.80,14.18,.40,41.70,58.30,,,
