Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19881108,N/A,Alabama,9,0,0,"1,378,476","815,576","Bush, George H. ",Challenger,"549,506","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"13,394",,"266,070",R,59.17,39.86,.00,.97,59.75,40.25,,,
President,19881108,N/A,Alaska,3,0,0,"200,116","119,251","Bush, George H. ",Challenger,"72,584","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"8,281",,"46,667",R,59.59,36.27,.00,4.14,62.16,37.84,,,
President,19881108,N/A,Arizona,7,0,0,"1,171,873","702,541","Bush, George H. ",Challenger,"454,029","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"15,303",,"248,512",R,59.95,38.74,.00,1.31,60.74,39.26,,,
President,19881108,N/A,Arkansas,6,0,0,"827,738","466,578","Bush, George H. ",Challenger,"349,237","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"11,923",,"117,341",R,56.37,42.19,.00,1.44,57.19,42.81,,,
President,19881108,N/A,California,47,0,0,"9,887,065","5,054,917","Bush, George H. ",Challenger,"4,702,233","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"129,915",,"352,684",R,51.13,47.56,.00,1.31,51.81,48.19,,,
President,19881108,N/A,Colorado,8,0,0,"1,372,394","728,177","Bush, George H. ",Challenger,"621,453","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"22,764",,"106,724",R,53.06,45.28,.00,1.66,53.95,46.05,,,
President,19881108,N/A,Connecticut,8,0,0,"1,443,394","750,241","Bush, George H. ",Challenger,"676,584","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"16,569",,"73,657",R,51.98,46.87,.00,1.15,52.58,47.42,,,
President,19881108,N/A,Delaware,3,0,0,"249,891","139,639","Bush, George H. ",Challenger,"108,647","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"1,605",,"30,992",R,55.88,43.48,.00,.64,56.24,43.76,,,
President,19881108,N/A,District of Columbia,0,3,0,"192,877","27,590","Bush, George H. ",Challenger,"159,407","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"5,880",,"131,817",D,14.30,82.65,.00,3.05,14.75,85.25,,,
President,19881108,N/A,Florida,21,0,0,"4,302,313","2,618,885","Bush, George H. ",Challenger,"1,656,701","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"26,727",,"962,184",R,60.87,38.51,.00,.62,61.25,38.75,,,
President,19881108,N/A,Georgia,12,0,0,"1,812,672","1,081,331","Bush, George H. ",Challenger,"717,792","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"13,549",,"363,539",R,59.65,39.60,.00,.75,60.10,39.90,,,
President,19881108,N/A,Hawaii,0,4,0,"354,461","158,625","Bush, George H. ",Challenger,"192,364","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"3,472",,"33,739",D,44.75,54.27,.00,.98,45.19,54.81,,,
President,19881108,N/A,Idaho,4,0,0,"408,968","253,881","Bush, George H. ",Challenger,"147,272","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"7,815",,"106,609",R,62.08,36.01,.00,1.91,63.29,36.71,,,
President,19881108,N/A,Illinois,24,0,0,"4,559,120","2,310,939","Bush, George H. ",Challenger,"2,215,940","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"32,241",,"94,999",R,50.69,48.60,.00,.71,51.05,48.95,,,
President,19881108,N/A,Indiana,12,0,0,"2,168,621","1,297,763","Bush, George H. ",Challenger,"860,643","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"10,215",,"437,120",R,59.84,39.69,.00,.47,60.13,39.87,,,
President,19881108,N/A,Iowa,0,8,0,"1,225,614","545,355","Bush, George H. ",Challenger,"670,557","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"9,702",,"125,202",D,44.50,54.71,.00,.79,44.85,55.15,,,
President,19881108,N/A,Kansas,7,0,0,"993,044","554,049","Bush, George H. ",Challenger,"422,636","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"16,359",,"131,413",R,55.79,42.56,.00,1.65,56.73,43.27,,,
President,19881108,N/A,Kentucky,9,0,0,"1,322,517","734,281","Bush, George H. ",Challenger,"580,368","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"7,868",,"153,913",R,55.52,43.88,.00,.59,55.85,44.15,,,
President,19881108,N/A,Louisiana,10,0,0,"1,628,202","883,702","Bush, George H. ",Challenger,"717,460","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"27,040",,"166,242",R,54.27,44.06,.00,1.66,55.19,44.81,,,
President,19881108,N/A,Maine,4,0,0,"555,035","307,131","Bush, George H. ",Challenger,"243,569","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"4,335",,"63,562",R,55.34,43.88,.00,.78,55.77,44.23,,,
President,19881108,N/A,Maryland,10,0,0,"1,714,358","876,167","Bush, George H. ",Challenger,"826,304","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"11,887",,"49,863",R,51.11,48.20,.00,.69,51.46,48.54,,,
President,19881108,N/A,Massachusetts,0,13,0,"2,632,805","1,194,635","Bush, George H. ",Challenger,"1,401,415","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"36,755",,"206,780",D,45.37,53.23,.00,1.40,46.02,53.98,,,
President,19881108,N/A,Michigan,20,0,0,"3,669,163","1,965,486","Bush, George H. ",Challenger,"1,675,783","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"27,894",,"289,703",R,53.57,45.67,.00,.76,53.98,46.02,,,
President,19881108,N/A,Minnesota,0,10,0,"2,096,790","962,337","Bush, George H. ",Challenger,"1,109,471","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"24,982",,"147,134",D,45.90,52.91,.00,1.19,46.45,53.55,,,
President,19881108,N/A,Mississippi,7,0,0,"931,527","557,890","Bush, George H. ",Challenger,"363,921","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"9,716",,"193,969",R,59.89,39.07,.00,1.04,60.52,39.48,,,
President,19881108,N/A,Missouri,11,0,0,"2,093,713","1,084,953","Bush, George H. ",Challenger,"1,001,619","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"7,141",,"83,334",R,51.82,47.84,.00,.34,52.00,48.00,,,
President,19881108,N/A,Montana,4,0,0,"365,674","190,412","Bush, George H. ",Challenger,"168,936","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"6,326",,"21,476",R,52.07,46.20,.00,1.73,52.99,47.01,,,
President,19881108,N/A,Nebraska,5,0,0,"661,465","397,956","Bush, George H. ",Challenger,"259,235","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"4,274",,"138,721",R,60.16,39.19,.00,.65,60.55,39.45,,,
President,19881108,N/A,Nevada,4,0,0,"350,067","206,040","Bush, George H. ",Challenger,"132,738","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"11,289",,"73,302",R,58.86,37.92,.00,3.22,60.82,39.18,,,
President,19881108,N/A,New Hampshire,4,0,0,"451,074","281,537","Bush, George H. ",Challenger,"163,696","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"5,841",,"117,841",R,62.41,36.29,.00,1.29,63.23,36.77,,,
President,19881108,N/A,New Jersey,16,0,0,"3,099,553","1,743,192","Bush, George H. ",Challenger,"1,320,352","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"36,009",,"422,840",R,56.24,42.60,.00,1.16,56.90,43.10,,,
President,19881108,N/A,New Mexico,5,0,0,"521,287","270,341","Bush, George H. ",Challenger,"244,497","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"6,449",,"25,844",R,51.86,46.90,.00,1.24,52.51,47.49,,,
President,19881108,N/A,New York,0,36,0,"6,485,683","3,081,871","Bush, George H. ",Challenger,"3,347,882","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"55,930",,"266,011",D,47.52,51.62,.00,.86,47.93,52.07,,,
President,19881108,N/A,North Carolina,13,0,0,"2,134,370","1,237,258","Bush, George H. ",Challenger,"890,167","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"6,945",,"347,091",R,57.97,41.71,.00,.33,58.16,41.84,,,
President,19881108,N/A,North Dakota,3,0,0,"297,261","166,559","Bush, George H. ",Challenger,"127,739","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"2,963",,"38,820",R,56.03,42.97,.00,1.00,56.60,43.40,,,
President,19881108,N/A,Ohio,23,0,0,"4,393,699","2,416,549","Bush, George H. ",Challenger,"1,939,629","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"37,521",,"476,920",R,55.00,44.15,.00,.85,55.47,44.53,,,
President,19881108,N/A,Oklahoma,8,0,0,"1,171,036","678,367","Bush, George H. ",Challenger,"483,423","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"9,246",,"194,944",R,57.93,41.28,.00,.79,58.39,41.61,,,
President,19881108,N/A,Oregon,0,7,0,"1,201,694","560,126","Bush, George H. ",Challenger,"616,206","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"25,362",,"56,080",D,46.61,51.28,.00,2.11,47.62,52.38,,,
President,19881108,N/A,Pennsylvania,25,0,0,"4,536,251","2,300,087","Bush, George H. ",Challenger,"2,194,944","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"41,220",,"105,143",R,50.70,48.39,.00,.91,51.17,48.83,,,
President,19881108,N/A,Rhode Island,0,4,0,"404,620","177,761","Bush, George H. ",Challenger,"225,123","Dukakis, Michael S. ",Challenger,N/A,N/A,N/A,N/A,"1,736",,"47,362",D,43.93,55.64,.00,.43,44.12,55.88,,,
